unit_id,manager_id,name,phone_number,job_role,work_location,salary
95,3,"Mordechai Goodwin
","+1 505-384-2812
",Employee,"Newington, CT",315580
96,3,"Philip Walters
","+1 505-644-6333
",Employee,"Norwalk, CT",284263
97,3,"Kaleb Higgins
","+1 505-217-3983
",Employee,"Brooklyn, NY",88493
98,3,"Ashlynn Pearson
","+1 505-628-4958
",Employee,"Atlanta, GA",171625
99,3,"Tori Cox
","+1 472-207-6842
",Employee,"Hartford, CT",85092
100,3,"Zachariah Benton
","+1 341-978-3597
",Employee,"Queens, NY",250640
101,3,"Cash Rodgers
","+1 472-294-9688
",Employee,"Austin, TX",266217
102,3,"Grayson Bishop
","+1 505-646-4599
",Employee,"Los Angeles, CA",270363
103,3,"Julia Wilkinson
","+1 505-665-3404
",Employee,"Newington, CT",152618
104,3,"Brandon Howe
","+1 202-973-4198
",Employee,"Bronx, NY",199435
105,3,"Cecilia Lloyd
","+1 505-646-7827
",Employee,"Austin, TX",164041
106,3,"Piper Dawson
","+1 402-944-5813
",Employee,"New Haven, CT",127223
107,3,"Judson Goodman
","+1 505-644-1774
",Employee,"New Haven, CT",183538
108,3,"Helena Curtis
","+1 415-363-9751
",Employee,"Newington, CT",200039
109,3,"Avery Pearson
","+1 505-644-6333
",Employee,"New Haven, CT",297425
110,3,"Derrick Klein
","+1 505-646-9241
",Employee,"Brooklyn, NY",166163
111,3,"Anthony Henry
","+1 205-837-4925
",Employee,"Los Angeles, CA",340791
112,3,"Shiloh Snow
","+1 505-505-5331
",Employee,"Norwalk, CT",225941
113,3,"Kayleigh Kaur
","+1 505-450-7200
",Employee,"St Paul, MN",226198
114,3,"Bronson Richards
","+1 505-907-8540
",Employee,"South Windsor, CT",298064
115,3,"Willow Tate
","+1 505-646-8619
",Employee,"Norwalk, CT",277353
116,3,"Emerson Hendrix
","+1 505-603-8708
",Employee,"Manhattan, NY",79468
117,3,"Tiffany Little
","+1 505-505-5331
",Employee,"New Haven, CT",205410
118,3,"Isabelle Love
","+1 505-793-3440
",Employee,"Hartford, CT",287755
119,3,"Andy Ahmed
","+1 505-734-4133
",Employee,"Brooklyn, NY",57036
120,4,"Davis Decker
","+1 505-657-6423
",Employee,"Newington, CT",216986
121,4,"Haley Kerr
","+1 505-602-2886
",Employee,"Norwalk, CT",117323
122,4,"Marisol Garner
","+1 505-646-9599
",Employee,"Hartford, CT",81811
123,4,"Camden Proctor
","+1 505-669-8866
",Employee,"Hartford, CT",239902
124,4,"Persephone McPherson
","+1 505-800-2101
",Employee,"Brooklyn, NY",84925
125,4,"Killian Fernandez
","+1 505-644-9350
",Employee,"Bronx, NY",65213
126,4,"Gabriel Powell
","+1 505-757-0229
",Employee,"Brooklyn, NY",52415
127,4,"Alexandra Steele
","+1 304-641-6511
",Employee,"Manhattan, NY",171014
128,4,"Faye Bass
","+1 505-628-4958
",Employee,"Chicago, IL",276113
129,4,"Cain Boyle
","+1 472-276-0268
",Employee,"Brooklyn, NY",172356
130,4,"Gabriel Powell
","+1 505-994-4989
",Employee,"Atlanta, GA",317697
131,4,"Iris Moon
","+1 240-883-6950
",Employee,"Hartford, CT",97576
132,4,"Zainab Patrick
","+1 308-425-3850
",Employee,"Hartford, CT",198117
133,4,"Kamryn Harmon
","+1 472-217-4161
",Employee,"West Hartford, CT",306054
134,4,"Leia Wallace
","+1 472-206-6343
",Employee,"Norwalk, CT",298505
135,4,"Leon Chung
","+1 505-646-6977
",Employee,"West Hartford, CT",319023
136,4,"Wrenley English
","+1 472-214-0466
",Employee,"Manhattan, NY",283143
137,4,"Eric O’Neal
","+1 312-272-9910
",Employee,"Austin, TX",312904
138,4,"Sean O’Connor
","+1 505-644-7503
",Employee,"Hartford, CT",325877
139,4,"Salem Macdonald
","+1 505-674-8996
",Employee,"Chicago, IL",347436
140,4,"Bowen Day
","+1 505-646-5405
",Employee,"Austin, TX",264368
141,4,"Kehlani Gibson
","+1 505-646-4268
",Employee,"West Hartford, CT",327121
142,4,"Rene Rosario
","+1 505-644-5872
",Employee,"West Hartford, CT",198235
143,4,"Adele McCormick
","+1 505-457-0421
",Employee,"Queens, NY",119347
144,4,"Davis Esquivel
","+1 505-646-4452
",Employee,"Manhattan, NY",176575
145,4,"Nevaeh Hancock
","+1 505-644-5907
",Employee,"Manhattan, NY",238488
146,4,"Sydney Mays
","+1 505-636-6012
",Employee,"New Haven, CT",140764
147,4,"Curtis Sharp
","+1 318-676-8220
",Employee,"South Windsor, CT",341203
148,4,"Blake Gaines
","+1 505-611-2383
",Employee,"New Haven, CT",233880
149,4,"Joanna Gomez
","+1 408-934-9453
",Employee,"Atlanta, GA",106565
150,5,"Anna Potts
","+1 505-644-1456
",Employee,"Atlanta, GA",93406
151,5,"Huxley Rollins
","+1 505-788-9003
",Employee,"Manhattan, NY",201795
152,5,"Alyssa Rivas
","+1 229-834-4968
",Employee,"Brooklyn, NY",53158
153,5,"Joanna Gomez
","+1 505-644-6740
",Employee,"Bronx, NY",42123
154,5,"Linda Phillips
","+1 505-644-3760
",Employee,"Hartford, CT",162682
155,5,"Alison Hull
","+1 234-666-5084
",Employee,"Los Angeles, CA",342912
156,5,"Zaid Villarreal
","+1 240-874-5522
",Employee,"Los Angeles, CA",145348
157,5,"Keira Benitez
","+1 505-854-5991
",Employee,"Los Angeles, CA",58891
158,5,"Kaysen Sierra
","+1 505-746-6940
",Employee,"Los Angeles, CA",101586
159,5,"Judith Massey
","+1 270-955-1495
",Employee,"Bronx, NY",321568
160,5,"Sonny Nielsen
","+1 203-726-8494
",Employee,"West Hartford, CT",308078
161,5,"Landyn Hale
","+1 321-933-0118
",Employee,"South Windsor, CT",144355
162,5,"Addison Gaines
","+1 472-262-9502
",Employee,"Los Angeles, CA",133850
163,5,"Alayna Fuentes
","+1 472-243-8941
",Employee,"Chicago, IL",126362
164,5,"Lennox Benson
","+1 505-646-8370
",Employee,"Chicago, IL",104813
165,5,"Matias Richard
","+1 505-696-7570
",Employee,"Queens, NY",170856
166,5,"Lilianna Lara
","+1 203-976-0747
",Employee,"Brooklyn, NY",150917
167,5,"Iker Bell
","+1 505-637-2577
",Employee,"Newington, CT",55956
168,5,"Isabel Conrad
","+1 412-768-9048
",Employee,"Atlanta, GA",62105
169,5,"Judith Massey
","+1 202-567-8505
",Employee,"Atlanta, GA",176931
170,5,"Emmy Holmes
","+1 216-505-6601
",Employee,"Bronx, NY",198380
171,5,"Melvin Huynh
","+1 505-646-7827
",Employee,"Bronx, NY",109097
172,5,"Trent Erickson
","+1 472-262-9502
",Employee,"Bronx, NY",59697
173,5,"Walker Ponce
","+1 505-644-8003
",Employee,"Austin, TX",299530
174,5,"Junior Stark
","+1 505-644-3200
",Employee,"Bronx, NY",151750
175,5,"Cadence Gilmore
","+1 430-476-0887
",Employee,"South Windsor, CT",186364
176,5,"Evan Moody
","+1 505-788-0216
",Employee,"St Paul, MN",88062
177,5,"Maverick Howe
","+1 430-558-3952
",Employee,"Brooklyn, NY",101936
178,5,"Jasmine Rowe
","+1 505-646-5958
",Employee,"Austin, TX",124727
179,5,"Alden Cannon
","+1 240-883-6950
",Employee,"Queens, NY",131633
180,6,"Derrick Klein
","+1 472-287-7239
",Employee,"St Paul, MN",72836
181,6,"Zainab Norton
","+1 472-252-2859
",Employee,"St Paul, MN",137199
182,6,"Emely Huff
","+1 472-213-5753
",Employee,"Atlanta, GA",244128
183,6,"Pearl Moyer
","+1 321-933-0118
",Employee,"Atlanta, GA",171163
184,6,"Harlan Gutierrez
","+1 505-646-2171
",Employee,"Los Angeles, CA",203764
185,6,"Eduardo Morrow
","+1 505-907-8540
",Employee,"South Windsor, CT",115528
186,6,"Alvin Harrison
","+1 472-211-2590
",Employee,"Queens, NY",50605
187,6,"Riley Rasmussen
","+1 505-644-7607
",Employee,"South Windsor, CT",245324
188,6,"Riggs Snow
","+1 319-321-9131
",Employee,"Los Angeles, CA",272870
189,6,"Devin Rich
","+1 505-554-4847
",Employee,"West Hartford, CT",330332
190,6,"Brayden Esquivel
","+1 472-201-8774
",Employee,"Atlanta, GA",100579
191,6,"Trinity Kemp
","+1 472-234-6784
",Employee,"Brooklyn, NY",280051
192,6,"Isabela Chang
","+1 505-759-6773
",Employee,"St Paul, MN",257945
193,6,"Kimberly Foley
","+1 505-513-7746
",Employee,"St Paul, MN",149236
194,6,"Derrick Holloway
","+1 472-201-6404
",Employee,"New Haven, CT",338158
195,6,"Manuel Ho
","+1 472-287-7239
",Employee,"New Haven, CT",152802
196,6,"Rhys Ho
","+1 206-837-8898
",Employee,"West Hartford, CT",265943
197,6,"Ruth Garcia
","+1 505-843-4269
",Employee,"St Paul, MN",239224
198,6,"Kamilah Quinn
","+1 472-213-5753
",Employee,"New Haven, CT",327919
199,6,"Sylvie Bush
","+1 424-460-9132
",Employee,"Norwalk, CT",291520
200,6,"Drew Owen
","+1 505-646-2986
",Employee,"Hartford, CT",298821
201,6,"Ryker Delgado
","+1 505-646-6535
",Employee,"Atlanta, GA",304621
202,6,"Addison Gaines
","+1 472-246-7771
",Employee,"Newington, CT",312498
203,6,"Jaxxon Cox
","+1 305-690-3471
",Employee,"Queens, NY",168993
204,6,"Nathaniel Tanner
","+1 505-646-1853
",Employee,"Hartford, CT",285470
205,6,"Mikayla Archer
","+1 505-719-4620
",Employee,"West Hartford, CT",244555
206,6,"Luis Wong
","+1 415-521-3492
",Employee,"South Windsor, CT",320458
207,6,"Gracie McKee
","+1 239-678-6978
",Employee,"Hartford, CT",108832
208,6,"Curtis Sharp
","+1 505-663-4807
",Employee,"South Windsor, CT",40778
209,6,"Ibrahim Sanchez
","+1 505-646-4429
",Employee,"South Windsor, CT",218904
210,7,"Vihaan Acevedo
","+1 505-457-0421
",Employee,"Bronx, NY",219189
211,7,"Sean Short
","+1 505-644-8890
",Employee,"Norwalk, CT",329972
212,7,"Gracelyn Huber
","+1 472-274-5170
",Employee,"New Haven, CT",48487
213,7,"Charlee Montes
","+1 309-826-6184
",Employee,"Austin, TX",255265
214,7,"Rene Rosario
","+1 472-282-2016
",Employee,"Brooklyn, NY",285556
215,7,"Karla Parker
","+1 505-646-2679
",Employee,"Brooklyn, NY",315716
216,7,"Ila Buchanan
","+1 505-875-3106
",Employee,"South Windsor, CT",146010
217,7,"Lilly Kirk
","+1 320-348-8676
",Employee,"Newington, CT",127030
218,7,"Madelynn Vu
","+1 505-646-1947
",Employee,"Chicago, IL",47653
219,7,"Bianca Sheppard
","+1 203-746-3983
",Employee,"Queens, NY",146738
220,7,"Russell Mercado
","+1 505-656-7858
",Employee,"Los Angeles, CA",222490
221,7,"Mateo Rodriguez
","+1 505-644-8874
",Employee,"Norwalk, CT",197089
222,7,"Sevyn Carter
","+1 505-646-3871
",Employee,"Newington, CT",251780
223,7,"Duncan Chung
","+1 505-644-0862
",Employee,"South Windsor, CT",102852
224,7,"Paisley Norris
","+1 472-205-5283
",Employee,"Brooklyn, NY",198154
225,7,"Charli Bowen
","+1 472-274-5170
",Employee,"Norwalk, CT",47010
226,7,"Juliette Powers
","+1 472-294-9688
",Employee,"West Hartford, CT",161426
227,7,"Angel Murray
","+1 472-217-4160
",Employee,"Bronx, NY",83298
228,7,"Crew Hernandez
","+1 505-646-7848
",Employee,"New Haven, CT",87972
229,7,"Aisha Gates
","+1 505-646-5405
",Employee,"South Windsor, CT",198592
230,7,"Nellie Michael
","+1 337-589-4193
",Employee,"West Hartford, CT",237323
231,7,"Robin Abbott
","+1 203-976-0747
",Employee,"Queens, NY",290503
232,7,"George Heath
","+1 228-972-2937
",Employee,"Queens, NY",140697
233,7,"Ivan Huynh
","+1 505-646-5132
",Employee,"St Paul, MN",223074
234,7,"Alonso Bowman
","+1 505-646-1853
",Employee,"Queens, NY",48146
235,7,"Leonard Mejia
","+1 505-644-4012
",Employee,"Austin, TX",58667
236,7,"Clayton Bauer
","+1 472-224-7064
",Employee,"Chicago, IL",316875
237,7,"Jaylen Clayton
","+1 472-213-5753
",Employee,"Hartford, CT",163938
238,7,"Fiona Fitzpatrick
","+1 339-877-2192
",Employee,"St Paul, MN",332369
239,7,"Natasha Stark
","+1 318-658-4456
",Employee,"Atlanta, GA",325461
240,8,"Porter Ware
","+1 219-661-9419
",Employee,"Atlanta, GA",44697
241,8,"Ari Shepherd
","+1 505-646-1923
",Employee,"Queens, NY",119346
242,8,"Harlan Gutierrez
","+1 505-646-3913
",Employee,"New Haven, CT",261986
243,8,"Bexley Frye
","+1 505-673-9457
",Employee,"Norwalk, CT",105992
244,8,"Manuel Ho
","+1 505-616-6043
",Employee,"Manhattan, NY",346170
245,8,"Julien Martin
","+1 505-906-5137
",Employee,"Newington, CT",116239
246,8,"Houston Pena
","+1 505-646-8410
",Employee,"Newington, CT",65806
247,8,"Jane Day
","+1 505-644-4350
",Employee,"St Paul, MN",340327
248,8,"Keily Knight
","+1 505-646-9862
",Employee,"Atlanta, GA",62118
249,8,"Nia Nixon
","+1 505-644-9770
",Employee,"Norwalk, CT",291159
250,8,"Bruno Crosby
","+1 505-646-3377
",Employee,"Chicago, IL",120153
251,8,"Jayce Gomez
","+1 212-665-4223
",Employee,"South Windsor, CT",293049
252,8,"Louie Le
","+1 505-611-2383
",Employee,"St Paul, MN",134734
253,8,"Mae Moore
","+1 505-644-7503
",Employee,"New Haven, CT",278297
254,8,"Will Crosby
","+1 219-889-5697
",Employee,"Queens, NY",316805
255,8,"Kayleigh Kaur
","+1 505-606-9349
",Employee,"Brooklyn, NY",284933
256,8,"Aaliyah Proctor
","+1 505-646-6235
",Employee,"West Hartford, CT",259872
257,8,"Bo McIntosh
","+1 505-661-4861
",Employee,"Chicago, IL",292749
258,8,"Carly Harrell
","+1 505-550-6489
",Employee,"Austin, TX",229775
259,8,"Atreus Bradley
","+1 505-644-9350
",Employee,"Newington, CT",60346
260,8,"Mallory Miller
","+1 472-294-9688
",Employee,"South Windsor, CT",328316
261,8,"Kash Espinosa
","+1 505-646-2679
",Employee,"Hartford, CT",156434
262,8,"Bria Osborne
","+1 505-644-1832
",Employee,"Chicago, IL",348027
263,8,"Russell Mercado
","+1 472-243-8444
",Employee,"Brooklyn, NY",150808
264,8,"Rodrigo Chavez
","+1 505-646-4006
",Employee,"Chicago, IL",189382
265,8,"Zaid Leon
","+1 518-741-7431
",Employee,"West Hartford, CT",103937
266,8,"Karson Warner
","+1 505-267-1564
",Employee,"Austin, TX",257631
267,8,"Harmony Lawson
","+1 505-644-0542
",Employee,"St Paul, MN",219102
268,8,"Selah Stout
","+1 505-695-1320
",Employee,"Manhattan, NY",340276
269,8,"Katherine Green
","+1 505-646-1923
",Employee,"West Hartford, CT",158394
270,9,"Myla Malone
","+1 472-280-7235
",Employee,"Manhattan, NY",313166
271,9,"Zaire Holloway
","+1 307-404-0522
",Employee,"Norwalk, CT",49787
272,9,"Anthony Henry
","+1 505-644-5941
",Employee,"Chicago, IL",278428
273,9,"Cora McDaniel
","+1 505-646-4686
",Employee,"Queens, NY",247849
274,9,"Kamryn Miranda
","+1 505-646-5111
",Employee,"South Windsor, CT",298635
275,9,"Kaiden Vu
","+1 216-505-6601
",Employee,"Manhattan, NY",339397
276,9,"Natalie Small
","+1 505-639-6707
",Employee,"Hartford, CT",200803
277,9,"Julius Mendoza
","+1 209-972-3984
",Employee,"Queens, NY",343593
278,9,"Bronson Richards
","+1 505-698-8994
",Employee,"Chicago, IL",129614
279,9,"Remi Ayala
","+1 505-634-4385
",Employee,"Newington, CT",78870
280,9,"Junior Stark
","+1 219-661-9419
",Employee,"Queens, NY",211564
281,9,"Mia Rasmussen
","+1 505-646-0770
",Employee,"Newington, CT",53731
282,9,"Dalary Charles
","+1 505-644-1832
",Employee,"Chicago, IL",57396
283,9,"Journi Rasmussen
","+1 472-283-5917
",Employee,"Bronx, NY",325825
284,9,"Conrad Schmidt
","+1 505-698-8994
",Employee,"Newington, CT",113888
285,9,"Marshall Enriquez
","+1 505-388-0354
",Employee,"Atlanta, GA",157383
286,9,"Jadiel Ball
","+1 505-620-2322
",Employee,"New Haven, CT",183822
287,9,"Leighton Monroe
","+1 505-646-2460
",Employee,"Los Angeles, CA",148027
288,9,"Emmie Merritt
","+1 505-646-5111
",Employee,"Queens, NY",68889
289,9,"Alaia Hogan
","+1 505-489-8740
",Employee,"West Hartford, CT",277716
290,9,"Ariel Grimes
",+1 472-248-3689,Employee,"Newington, CT",192837
291,9,"Callen Craig
","+1 505-646-2167
",Employee,"Austin, TX",74197
292,9,"Desmond Willis
","+1 508-235-8296
",Employee,"Newington, CT",325220
293,9,"Maverick Howe
","+1 231-294-1594
",Employee,"Chicago, IL",295256
294,9,"Gwen Lara
","+1 505-954-1079
",Employee,"Norwalk, CT",148867
295,9,"Scarlet Aguirre
","+1 606-613-5606
",Employee,"St Paul, MN",179899
296,9,"Conrad Schmidt
","+1 214-906-1976
",Employee,"Hartford, CT",308290
297,9,"Vanessa Evans
","+1 505-835-0002
",Employee,"Bronx, NY",330008
298,9,"Iris Moon
","+1 505-644-9937
",Employee,"West Hartford, CT",88445
299,9,"Jamie Wells
","+1 472-263-2771
",Employee,"Chicago, IL",197637
300,10,"Vance Figueroa
","+1 505-646-1359
",Employee,"Bronx, NY",169865
301,10,"Phoenix Maddox
","+1 208-804-6587
",Employee,"Los Angeles, CA",188448
302,10,"Mariana Atkinson
","+1 430-558-3952
",Employee,"South Windsor, CT",86906
303,10,"Aaron Brennan
","+1 202-567-8505
",Employee,"Brooklyn, NY",156423
304,10,"Ava McMahon
","+1 505-689-3190
",Employee,"Brooklyn, NY",197928
305,10,"Sloane Bauer
","+1 472-234-6784
",Employee,"West Hartford, CT",65633
306,10,"Lukas Sims
","+1 472-299-5882
",Employee,"Bronx, NY",108517
307,10,"Arianna Hurst
","+1 505-644-7388
",Employee,"Bronx, NY",175424
308,10,"Kamden Floyd
","+1 505-659-6230
",Employee,"Los Angeles, CA",246978
309,10,"Devon Mann
","+1 505-600-2991
",Employee,"South Windsor, CT",59603
310,10,"Noa Bass
","+1 505-619-3272
",Employee,"West Hartford, CT",137098
311,10,"Emory Harper
","+1 505-916-4099
",Employee,"Atlanta, GA",249879
312,10,"Alanna Reeves
","+1 430-979-2839
",Employee,"Bronx, NY",128304
313,10,"Daniella Dudley
","+1 472-208-2279
",Employee,"Chicago, IL",327673
314,10,"Sydney Mays
","+1 505-646-6728
",Employee,"Los Angeles, CA",271777
315,10,"Evan Meyers
","+1 239-678-6978
",Employee,"West Hartford, CT",329366
316,10,"Jeffrey Hickman
","+1 215-782-1583
",Employee,"Hartford, CT",248642
317,10,"Rex Everett
","+1 505-646-4338
",Employee,"Brooklyn, NY",103825
318,10,"Rodrigo Chavez
","+1 472-243-3504
",Employee,"Atlanta, GA",170458
319,10,"Raul Gallegos
","+1 213-796-4944
",Employee,"Austin, TX",96269
320,10,"Sydney Mays
","+1 505-644-9937
",Employee,"Newington, CT",286564
321,10,"Calliope Hunt
","+1 505-386-1460
",Employee,"Austin, TX",188092
322,10,"Trevor Gonzalez
","+1 505-373-6195
",Employee,"Austin, TX",137310
323,10,"Leighton Monroe
","+1 505-646-4784
",Employee,"Newington, CT",258592
324,10,"Tony Douglas
","+1 317-788-6135
",Employee,"South Windsor, CT",236197
325,10,"Zane Cuevas
","+1 505-646-0117
",Employee,"Manhattan, NY",228273
326,10,"Ainhoa Graves
","+1 505-644-9385
",Employee,"South Windsor, CT",90141
327,10,"Rivka Romero
","+1 209-336-6685
",Employee,"Atlanta, GA",326973
328,10,"Madelyn Graves
","+1 505-646-9387
",Employee,"St Paul, MN",246898
329,10,"Callum Crane
","+1 505-644-0542
",Employee,"Atlanta, GA",97684
330,11,"Samson Burgess
","+1 214-295-8155
",Employee,"Brooklyn, NY",236494
331,11,"Iris Moon
","+1 505-644-2547
",Employee,"Newington, CT",308921
332,11,"Paul O’brien
","+1 505-646-2460
",Employee,"New Haven, CT",319109
